tweet,label
敵だの戦いと言っているあべ政権や、けつ舐めお友達現状把握どの位感染が広がっているのか知るには全国民検査をしなければ❗️貴方達に国を守る事は、出来ません。我が国を侵略する者がいても、的外れな対応侵略されてもやってる感だけ、こんな奴らに国は任せられません https://t.co/YDJaQQdT10,1
初の生EXIT楽しんでくる！ https://t.co/eJCGB9egrg,1
"新規キャストのご紹介😘

信（しん）172cm/86kg/30代

待望のバリタチ兄貴の登場です！
ゲイ受け抜群の男らしい顔立ちにがっちりした身体付きはたまりません❤️あなたも兄貴に心も身体も癒されてみませんか？

４／１（木）より開始！予約受付中！

https://t.co/0qCbUzB9F2

#ゲイ #マッサージ #売り専 https://t.co/2XbBCyKnZC",1
"『ピカピカ音楽会@ホーム』
魂のクラウドファンディング公開中！

本日、今後のことに関して某児童施設へ。
是非ともシェイカーを寄贈して楽しんでもらいたい！

音楽会へのご参加とご支援、情報の拡散よろしくお願い致します！！

https://t.co/LH2SaNzJaC",1
はいはいはいー https://t.co/ytrD10aHZf,0
しんえば、公開日決まったのか。もう次の週末枠じゃん。不意過ぎるでしょ…,1
"過去のひなあい　ヒット祈願。

深夜に見て一人で感動してました。

日向坂って良いグループだなぁ本当🥺 https://t.co/0ZWGWzsANi",0
あんさんぶるミッションやりたいけど微妙なラインで先輩側に入ってしまったので後輩の知り合いがおらぬ,0
"おはようみなさん。今日はめちゃくちゃ寒いみたいですが、楽しんでいきましょう。
#寒波　＃田舎暮らし  #ゴルフ https://t.co/6fdWvCiLOy",1
"おはよう☀

今日は息子たちの小学校の卒業式🌸
いろいろあっただろうけど、いろいろ制限あっただろうけど、楽しんで卒業していってほしいなぁ。
たくさん息子たちとも遊んでくれてありがとう💛",1
対抗戦の配信見始めて｢術式開示が〜｣って話してたら誰だってびっくりするだろ,0
かなしみ https://t.co/SzZYCPkbOg,1
来週4連休生成してしまったので無敵です,0
"すごーい
ちゃんと背の低く足のがっしり系の、坂道得意、重い物は運ぶの得意系の馬さんだ！
流鏑馬って競馬用の馬さん使われてること多いけど、これ凄いなあ
馬上の安定感が分かる
格好良い
お尻の筋肉素敵 https://t.co/wmGE7kG1xt",0
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● SCANDALはいつからファン…
● ベスクリ行くんですね✨
楽しん…
#質問箱 #匿名質問募集中

https://t.co/0hUBvQAJ2G",1
そろそろ年末に向けて大掃除しなきゃね…毎年迷子のグッズ量に頭抱えるけれど,0
"腕時計の電池交換に行くと、
「龍頭の軸が腐食し、修理が必要」とのこと。

修理には25,000円程度かかるとのこと
検討したいと持ち帰るが・・・どうしようか悩み中
＃修理",0
ドラとしんちゃんと比べて版権的に誰も文句言わなそうとかもありそう(),1
"状況終了！(｀_´)ゞ
#ingress https://t.co/Uyh3nOEjub",0
"資産は長期のインデックス投資で増やすのだ。定期預金なんてしてたらお金が泣いてるのだ (  ˙꒳˙　)
https://t.co/O1X1ddfoI3",0
"SkyHealing
いいねされた数:35(前日比:+2)
フォローした数:-1(前日比:-6)
フォローされた数:2(前日比:-4)
https://t.co/b0XRfkCkXA",0
僕は色んな現場で会ったことがあるだけやけど、行くところには大体いつもいはって、いつも気さくに声をかけてくれはって。さびしいです。,1
"みんなからの匿名質問を募集中！

しんさんはまだ答えた質問がありません！
しんさんの記念すべき最初の回答はあなたの質問かも！？
#質問箱 #匿名質問募集中

https://t.co/sH8u4zqJw1",1
2021/3/13 19:26:25 5980円 トミーテック 技MIX 技AC120 空自 F-4EJ改 那覇 トミーテッ TOMYTEC https://t.co/unOvmfCLv7,0
音ゲーって100円で10分遊べると思うとまあまあコスパ良い気がするけどそう思ってるの私だけ説ある,0
九つの巨人が馬名に見えてくる呪い,0
実はライブ主催はワンマンが初めてで、複数人とのライブはバレンタインライブが初めてだからとっても特別なライブ......楽しんで貰えるように他に無いようなことも出来たらいいなあ( ；ᵕ； )頑張ります！,1
"ソードゴーレムで殆どﾀﾋん出るんだけど...
抜けてもボス1ゲージでﾀﾋぬし皆どうやって勝ってんの？？？ https://t.co/C1qNqJm9oX",0
"おはようございます🌈日本

今日の夢は
自分の居る空間が三階建に
なっている宇宙船に乗り
仕事や趣味をする夢でした☺
移動はエレベーターや
エスカレーターでしたが
エレベーターは浮いてるので
風で飛ばされました💦

埃っぽい毎日ですが😷
メイメイは元気一杯

愛あふれる一日をお過ごしください💖 https://t.co/pdyFgFHg39",0
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● 今一番欲しいものは何？…
#質問箱 #匿名質問募集中

https://t.co/56TmrDRxhS",0
オンライン配信観させていただきました！素敵でした！明日も楽しんでやってください #しゃーらいぶ,1
桜ほとんど散っててかなしみ　でも今日は有意義な時間を過ごせて充実感とてもあったのでよし,1
"本日の動画！
【第一回ねずこ選手権】こちょこちょ我慢…誰が本当のねずこ！？
#実験道場 #jikkendojo #YouTube
https://t.co/dsaDwGVlkX",0
"週末のオンラインライブ＆パーティーいかがだったでしょうか‼︎ 楽しんでいただけたら嬉しいです👍ライブはますます進化🎶パーティーも最高🎉

リアルタイム見逃した方も大丈夫🙆‍♀️ライブは2週間、パーティーは3日間、1回のチケット購入で何度でもご覧いただけます🎫好きな時に楽しんでください☕️ https://t.co/9aJViQ6G6x",1
"錦山組長強ぇです
久々にダニ村、辻のダブルボス襲撃が決まった気がする☺️
辻氏の方の結果が楽しみだ🤣

対戦ありがとうございました🙏 https://t.co/xMSK2UpqrW",0
"２０年苦しんだ足し首の硬い原因がわかりました！

足首に火傷を負い、その後皮膚と筋肉が癒着していたのが原因とわかり、治療したらよくなり始めましたまた！",1
"おはよございますっ😃

有馬記念が終わってどっと疲れが出てきました😅
馬券は軸間違いでちょっと悔いが残る結果に…💧

今年の中央競馬も何やかんやで楽しくやれたし
後は明日のの東京大賞典
を楽しんで今年の競馬を締めたいです😄

今年もあと4日
2020最後の週
よろしくお願いします😙🍀",1
久しぶりにブルーインパルスがハートに矢を射抜いてる課目見た✈️💨 https://t.co/NZ3R4ZThqb,0
"連打しすぎて指とれたドン
野良の方との意志疎通むずい！
#apex #太鼓の達人 #PS4share

https://t.co/YRU2SUiIz2 https://t.co/XpMBkV7sRJ",0
"最初は絶対無理、一生芝居なんてやりたくない、ってところからまた美男ですねで苦しんでそこからたくさんたくさん経験積んで。やりたくなかった、苦手だったことを、時間をかけながら""好きなこと""に変えることができるって、そうそう出来ないと思うんだよね、、本当にすごい！",1
"イカ3やスマブラ追加キャラ勿論楽しみだし聖剣LoMリマスターやサガフロリマスターもやりたいが一番楽しみなのぼくなつみたいなクレヨンしんちゃんかもしれない
 #ニンダイ 
 #ニンテンドーダイレクト https://t.co/HRd9mgerAJ",1
オトパ参加するふぉろわさん。楽しんできてください。そしてＣＺ単独イベ決定の速報が流れたらリプください。その場で泣き崩れる準備はできてます😇😇😇,1
おはござ！✌️('ω' ✌️),0
"最後参加したかった…
参加される方々はコロナや天候に気を付けながらめいいっぱい楽しんできてください！ https://t.co/4eWvJfUeC6",1
だいゆーしょう！！！！！,1
誰かアリーナポイント上げ行きませんか？,0
エースの誕生日で鍵をもらったので10連したら、鏡を間違えた代わりにルーク先輩が来てくれました✨ありがとうございます？？ https://t.co/nVBvX6apu7,0
もっと頭良かったらなあっていう過去思考ではなくもっと頭良くなろうという未来思考保ちたいしん,1
"前みたいな異常食欲がなくなってる。
やっぱり飲んでた抗うつ薬のせいだったんだ。。。",1
…OCG系列のbotがあったら、ぜひお教えください。さびしいです。,1
休職中に丁寧に料理頑張れてよかった！それまで謎肉野菜炒めとカレーしか作れなかったけど、いろいろできるようになった！復職したら絶対に料理にこんな時間割けないから、今のうち楽しんでおく😂,1
"姫はじめは抽選の結果、ムチピチ女子大生(20)に決定です㊗️
今年も皆さまよろしくお願いいたします！
お酒もセックスも覚えたてな彼女は、驚くほどリクエストが多い💦
負けじと楽しんできます😝",1
トルコが変わった  親日国  歴史学んだ上で  紛争ってなんだろう？🐱,0
"今日は娘ちゃんの付き添い💙
その合間にＪ_Oカフェに付き合ってくれることになった😍
テイクアウトもギリギリで予約完了‼️
感染症対策につとめて１日楽しんできます🎵

#フリスタ2020 #大野智個展 #J_OCAFE #稲垣吾郎 https://t.co/RNHzvK6Lp6",1
ゆううつー,1
"あと3人誰かなぁ🤔
小僧丸は来るだろうと予想してあと2人は、、、
佐久間と染岡とか？あ、この2人無印の時の追加補充メンバーやん
#イナズマイレブン #オリオンの刻印 https://t.co/OuiJmZmLwe",0
藍良･巽 〆,0
私と一緒に「identityV」で遊ぼう！ https://t.co/FyUVMD5GrR,0
"大内義隆(おおうちよしたか)
トルレス
フロイス
森蘭丸(もりらんまる)
加藤清正(かとうきよまさ)
淀君(よどぎみ)
由井正雪(ゆいしょうせつ)
村田清風(むらたせいふう)
調所広郷(ずしょひろさと)
新門辰五郎(しんもんのたつごろう)
山本八重(やまもとやえ)
山本覚馬(やまもとかくま)",1
しんちゃん版のぼく夏？,1
七駆改二うおおおおおお https://t.co/2QozRLUQA3,0
"クレしんでぼくなつ出来る！？
買う。",1
けつぺきおとかあかん飯(？)とか,1
"【 まじんのオノ錬金・・会心率とは。 】

まじんのオノ 会心率トータル＋２％で
どれくらい差がでるか検証してみました☆

１回のみだれ斬りで、かいしんのいちげき が２発出た事がありました♪
これが会心率＋４％だと・・めっちゃロマンがありますね♪

 #ドラクエタクト https://t.co/eTgmHWsSxc",1
IPO？なにそれ美味しいの？って感じでかすりもしませんわ。おけつすらなし。コネクトも期待してたけど配分少ないのと人口増えたので厳しそう。はぁ…,1
"上司へのイライラ解決法を必死に探してみたこと
みんなあると思う

でも会社内で生きて行く中で
どうしてもその解決方法が見つからんかった😱

自分の考え方を変えようと努力した👆

でもできんかった

結局会社から飛び出した事で
うつ気味も嫌な人間関係もすべてサヨナラしたったわ。",1
"#Playfullearning学習

ロンブーの田村淳さんが、大学院を修了したそうですね。

私も48歳の時に大学院に入学しました。

以前、その経験をnoteに書きましたが、またシェアさせて頂きます👎

お読み頂けると嬉しいです😊

＞人は、何歳になっても学び続けることができる。

https://t.co/QA88Sy0oQU",0
１学期の前髪 - ユメイズム の歌詞 https://t.co/OJWwhbVwA7,0
"おはようございます！

昨日のソワソワはワクワクだったのかな？

今日、明日は「群馬お肉の祭典MINI」

楽しんで頑張りまーす(^-^)v

みなさま良い1日を♪",1
"中須かすみちゃん

虹ヶ咲放送してる分全部見たけど面白い🤗
ラブライブ1期ほどの爆発力はないものの平均して高得点出す優等生アニメって感じですかね〜
ぶっちゃけラブライブあんまり関係ないからラブライブはちょっと…っていう人でも楽しめると思いますっ！ https://t.co/YQ69NZKGpx",0
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● おれおぼえてる？…
● みやぞん君の中での今年の流行語…
● なんかいたいと思ったらしょうご…
● 好きな人いる？…
#質問箱 #匿名質問募集中

https://t.co/bB2WKZqQUK",1
"コロコロピッ！流行らせたい隊隊長のゾロアークです
コロコロピッ！を皆さん使いましょう( ‘-^ )b
(普段しないようなツイートしてごめんなさいm(_ _)mまぁ流行らせたいのはホントですがね(。-∀-)ﾆﾔﾘ)",1
私は寝ますおやすみなさい…,0
"本日は久々のエオラジ御視聴ありがとうございました！
ラジオやるのも、チルさんと話すのもやっぱり楽しい。
皆さんにも一杯楽しんで頂けるようにこれからも更新がんばりまっする！

#FF14 #エオラジ https://t.co/0PGgD0XoGJ",1
じょんくんの生まれた季節がまた来るね https://t.co/4uw6J5S69H,0
"あのしかめっ面はね、
たぶん照れ隠しなんだと思うの✨（*´∀｀*)
だって晴一君と肩組んでるんだよ✨
そゆことあんまりしなさそうだからさぁ✨
#あくまでも個人的な意見です",0
楽しんでくるぞ〜❕❕♥️ #ひな誕祭,1
"あと2カプあるんじゃが、それは流石に後日かな～
仕上がったら投げときます",0
"私の寝不足のせいなんだけど
上司の「ん？ん？」って掛け声
いらつくまじで静かにして",0
前の仕事仲間とバーベキューと温泉きた♨️ https://t.co/HJYKVTG6UL,0
"熱いねー🥳
ざっくりだけどどのチームにも優勝のチャンスあり？？
大将戦楽しみや

 #じゃんたまV_IH",0
"中華チェーン・福しんが「餃子サブスク」開始ですと！　月額500円で餃子1皿が毎回無料なら、餃ビーを福しんで…ってなりそうです♪

#Jタウンネット https://t.co/NfMwcBL006",1
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● 好きな人に告白されました♡♡…
● 別れてから悪口言うのってどー思…
● 急ですが年下の彼氏が年上の彼女…
● 彼氏の理想の身長とかある？…
#質問箱 #匿名質問募集中

https://t.co/DjLeOhZqLS",0
"ミニふすま5ヶ月、ミニしょうじ3ヶ月
あたしほぼ変わらないわ！
聡明な感じね！
僕はちっちゃくてかわいー❤️
クリーム色だったよ！

#ノルウェージャン ＃ラグドール #ねこ #猫のいる生活 #猫好きさんと繋がりたい https://t.co/uTCkl2Mopk",1
会話成立しないんだけどw https://t.co/MqKFP6kfLE,0
"【長いですがお読みいただけたら嬉しいです】

突然ですが私はうつ病、不安障害、身体醜形障害etc.という心の病を抱えていて、心療内科で診断も出てます。

それプラス病弱で内臓が死んでいます。
体調が悪く一日中ベッドから動けず過ごす日も多々あります。",1
"プリコネ無料10連☆
２日目と３日目

虹は出ずとも金多めでよかった☺️ https://t.co/yFOAj8BhSA",0
"皆さんこんばんは&amp;おはようございます今日も朝は寒いですが仕事です

それではお仕事の方推し事の方、お休みの人もめいっぱい楽しんでいきましょーピース✩°｡⋆⸜(*˙꒳˙*  )⸝

仕事前に推しの写真でも貼っておくか、はい可愛い( *¯ ꒳¯*)✨
#ルーチェTW https://t.co/XWzNEk1MP6",1
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● s〇raさんってかっこいいと思…
● しのちんさん…
● しのしんのゆらいは？…
● 今度いつ改名しますか？…
#質問箱 #匿名質問募集中

https://t.co/OsmPVJj1B3",1
コロナ禍で食品ロスが心配される中、皆色々考えて動いている。僕も頑張らなくては！この先ずっと、ちゃんと美味しく食べれる世の中がいいよね。食べてる時って幸せ！,0
制限あっても無くても、結局は個々の管理の問題なんだろうね。,0
苦しんでる人に対してメンヘラなんつー言葉を安易に使っとる人に対して、優しさと思い遣りを感じられん。思考の軽さを感じる。嫌い。,1
"おはようございます。
何故、行き倒れてるのか…… https://t.co/uUJQ13AJg2",0
ハカセってあだ名だったの！？笑,0
今日は読書会のために本も準備してたのですが、いろいろ用事　（モンハンじゃないです）が入って行けなくてかなしみ……でもせっかく他のみなさまにお呼ばれしていただいたし、楽しんできます！,1
ははは。図に乗っていると日本は核保有する権利を行使するよ。https://t.co/R07PEgPovD https://t.co/RBLhRIcc6x,0
Baconのライブ、楽しんできてください行かれる方( ノД`)…かかると厄介なことになりそうやから自粛します。Baconで幸せになりたかった～🍀,1
"2020年　amiスタート❣️ ー アメブロを更新しました
 https://t.co/bAT7Hl6ob8",0
